English_words,Hebrew_meaning,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,score,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
dampen ,"הִרְטִיב; עִמְעֵם, שִׁכֵּךְ",,,,,dampen ,0.0,,,,,,,,,,,,,,,,,,,,,,
upholstery,רִפּוּד,,,,,upholstery,0.0,,,,,,,,,,,,,,,,,,,,,,
notorious ,יָדוּעַ לְשִׁמְצָה; (נָדִיר) מְפֻרְסָם,,,,,notorious ,0.0,,,,,,,,,,,,,,,,,,,,,,
dent,"גֻּמָּה, שֶׁקַע; פְּגִיעָה; רֹשֶׁם, חוֹתָם",,,,,dent,0.0,,,,,,,,,,,,,,,,,,,,,,
witty ,"פִּקֵּחַ, מְפֻלְפָּל, שָׁנוּן",,,,,witty ,0.0,,,,,,,,,,,,,,,,,,,,,,
delinquent ,עֲבַרְיָן,,,,,delinquent ,1.0,,,,,,,,,,,,,,,,,,,,,,
dismal ,"מְדַכֵּא, מְדַכְדֵּךְ; מַפְחִיד, אֵימְתָנִי",,,,,dismal ,0.0,,,,,,,,,,,,,,,,,,,,,,
dreary ,"עָצוּב, קוֹדֵר; מְעַיֵּף, מְשַׁעֲמֵם; צָחִיחַ",,,,,dreary ,0.0,,,,,,,,,,,,,,,,,,,,,,
brandish ,"נוֹפֵף, אִיֵּם",,,,,brandish ,0.0,,,,,,,,,,,,,,,,,,,,,,
scarce ,"נָדִיר, יְקַר הַמְּצִיאוּת; מְצֻמְצָם, מוּעָט, שאינו מספיק",,,,,scarce ,0.0,,,,,,,,,,,,,,,,,,,,,,
leery ,עַרְמוּמִי; (סְלֶנְג) חַשְׁדָנִי,,,,,leery ,0.0,,,,,,,,,,,,,,,,,,,,,,
crony ,"יָדִיד, חָבֵר",,,,,crony ,1.0,,,,,,,,,,,,,,,,,,,,,,
aptly ,"כָּרָאוּי, כַּיָּאוּת, כַּהֲלָכָה, באופן קולע",,,,,aptly ,0.0,,,,,,,,,,,,,,,,,,,,,,
bolster,"תָּמַךְ, חִזֵּק; הִגְבִּיהַּ",,,,,bolster,0.0,,,,,,,,,,,,,,,,,,,,,,
slough,"השקיע בבוץ; הִשִּׁיל, פָּשַׁט, הִשִּׁיר; נָטַשׁ, הִשְׁלִיךְ, נִפְטַר מ_",,,,,slough,0.0,,,,,,,,,,,,,,,,,,,,,,
egregious ,"שַׁעֲרוּרִיָּתִי, מֵבִישׁ",,,,,egregious ,0.0,,,,,,,,,,,,,,,,,,,,,,
grapevine ,גֶּפֶן; (בלשון הדיבור) חֲרֹשֶׁת שְׁמוּעוֹת,,,,,grapevine ,0.0,,,,,,,,,,,,,,,,,,,,,,
mow ,"כִּסֵּחַ, גָּזַם",,,,,mow ,0.0,,,,,,,,,,,,,,,,,,,,,,
differ ,נִבְדַּל; הִתְוַכֵּחַ,,,,,differ ,0.0,,,,,,,,,,,,,,,,,,,,,,
exacerbate ,"הֶחְמִיר, הֵרַע, הֶחְרִיף; עִצְבֵּן",,,,,exacerbate ,1.0,,,,,,,,,,,,,,,,,,,,,,
acquaintance ,"הֶכֵּרוּת, הִתְוַדְּעוּת; מַכָּר, מְיֻדָּע",,,,,acquaintance ,0.0,,,,,,,,,,,,,,,,,,,,,,
beckon ,"זִמֵּן, קָרָא",,,,,beckon ,0.0,,,,,,,,,,,,,,,,,,,,,,
impetus ,"דַּחַף, אִימְפּוּלְס; תַּמְרִיץ",,,,,impetus ,1.0,,,,,,,,,,,,,,,,,,,,,,
brandish,"נוֹפֵף, אִיֵּם",,,,,brandish,1.0,,,,,,,,,,,,,,,,,,,,,,
downtrodden ,"מְקֻפָּח, עָשׁוּק, מְדֻכָּא, נִרְדָּף",,,,,downtrodden ,0.0,,,,,,,,,,,,,,,,,,,,,,
vanity ,"יָהֳרָה, גַּאֲוָה, רְהַבְתָּנוּת; הֶבֶל",,,,,vanity ,0.0,,,,,,,,,,,,,,,,,,,,,,
demolish ,"הָרַס, מוֹטֵט",,,,,demolish ,0.0,,,,,,,,,,,,,,,,,,,,,,
shabby ,"בָּלוּי, מְרֻפָּט, מְמֹרָט; עָלוּב, נִתְעָב",,,,,shabby ,0.0,,,,,,,,,,,,,,,,,,,,,,
burst,"הִתְפָּרֵץ, פָּרַץ, בָּקַע; הִתְפּוֹצֵץ; פּוֹצֵץ; נִפְתַּח",,,,,burst,0.0,,,,,,,,,,,,,,,,,,,,,,
shudder ,"רָעַד, הִתְחַלְחֵל",,,,,shudder ,0.0,,,,,,,,,,,,,,,,,,,,,,
spleen,"טְחוֹל; דִּכָּאוֹן, מָרָה שְׁחֹרָה",,,,,spleen,0.0,,,,,,,,,,,,,,,,,,,,,,
vent ,"שִׁחְרֵר, הוֹצִיא; אִוְרֵר; פָּרַק (רגש כמו כעס), נתן פורקן לרגש, ""שִׁחְרֵר קִיטוֹר""",,,,,vent ,0.0,,,,,,,,,,,,,,,,,,,,,,
gist ,"עִקָּר, מַהוּת, תַּמְצִית",,,,,gist ,0.0,,,,,,,,,,,,,,,,,,,,,,
stellar ,כּוֹכָבִי; מצטיין,,,,,stellar ,0.0,,,,,,,,,,,,,,,,,,,,,,
delinquency ,"עֲבֵרָה, פֶּשַׁע; הַזְנָחָה; עֲבַרְיָנוּת",,,,,delinquency ,0.0,,,,,,,,,,,,,,,,,,,,,,
inflate ,נִפֵּחַ,,,,,inflate ,0.0,,,,,,,,,,,,,,,,,,,,,,
utmost ,מיטב היכולת,,,,,utmost ,0.0,,,,,,,,,,,,,,,,,,,,,,
contempt,"בּוּז, זִלְזוּל, זִילוּת",,,,,contempt,0.0,,,,,,,,,,,,,,,,,,,,,,
indulge ,"פִּנֵּק, עִנֵּג; הִתְעַנֵּג, הִתְפַּנֵּק; רִצָּה, סִפֵּק, נַעֲנָה, הִשְׂבִּיעַ אֶת רְצוֹנוֹ (של מישהו); הִתְמַכֵּר",,,,,indulge ,0.0,,,,,,,,,,,,,,,,,,,,,,
vice ,"מִדָּה רָעָה, חִסָּרוֹן; עָווֹן, עֲבֵרָה, פֶּשַׁע; הֶפְקֵרוּת, סְטִיָּה, סְטִיָּה מִינִית; (בריטי) מֶלְחָצַיִם; (בלשון הדיבור) סְגָן",,,,,vice ,0.0,,,,,,,,,,,,,,,,,,,,,,
martyrdom ,"מוֹת קְדוֹשִׁים, מותו של הקדוש המעונה; סֵבֶל, עִנּוּי",,,,,martyrdom ,0.0,,,,,,,,,,,,,,,,,,,,,,
stave off,"הָדַף, הִרְחִיק, דָּחָה; מָנַע, גרם לכך שדבר מסוים לא יתרחש",,,,,stave off,0.0,,,,,,,,,,,,,,,,,,,,,,
rectify ,תִּקֵּן,,,,,rectify ,0.0,,,,,,,,,,,,,,,,,,,,,,
cultivate ,"עִבֵּד; טִפֵּחַ, פִּתֵּחַ",,,,,cultivate ,0.0,,,,,,,,,,,,,,,,,,,,,,
bide ,"(מְיֻשָּׁן) נִשְׁאַר, הִמְשִׁיךְ, הִתְמִיד; (מְיֻשָּׁן) הִתְגּוֹרֵר; (מְיֻשָּׁן) סָבַל, נָשָׂא",,,,,bide ,0.0,,,,,,,,,,,,,,,,,,,,,,
dissipated ,"מתהולל, משחית",,,,,dissipated ,0.0,,,,,,,,,,,,,,,,,,,,,,
chasm ,"תְּהוֹם, בְּקִיעַ",,,,,chasm ,1.0,,,,,,,,,,,,,,,,,,,,,,
travesty ,"לַעַג, קֶלֶס, פָּרוֹדְיָה",,,,,travesty ,0.0,,,,,,,,,,,,,,,,,,,,,,
reciprocal ,"הֲדָדִי, דּוּ-צְדָדִי; הָפְכִּי",,,,,reciprocal ,0.0,,,,,,,,,,,,,,,,,,,,,,
bolster ,"תָּמַךְ, חִזֵּק; הִגְבִּיהַּ",,,,,bolster ,0.0,,,,,,,,,,,,,,,,,,,,,,
pristine ,"מֻשְׁלָם, לְלֹא רְבָב; במצבו המקורי; קַדְמוֹנִי, רִאשׁוֹנִי",,,,,pristine ,0.0,,,,,,,,,,,,,,,,,,,,,,
inadequacy ,"אִי-הַתְאָמָה; לִקּוּי, פְּגִימוּת",,,,,inadequacy ,1.0,,,,,,,,,,,,,,,,,,,,,,
appalling ,"מַחְרִיד, מַזְוִיעַ, מְזַעֲזֵעַ",,,,,appalling ,0.0,,,,,,,,,,,,,,,,,,,,,,
condemn ,"גִּנָּה; הִרְשִׁיעַ, דָּן",,,,,condemn ,0.0,,,,,,,,,,,,,,,,,,,,,,
quell ,"דִּכֵּא, שִׁכֵּךְ, הִכְנִיעַ; הִשְׁקִיט",,,,,quell ,0.0,,,,,,,,,,,,,,,,,,,,,,
torment ,"סֵבֶל, עִנּוּי, יִסּוּרִים",,,,,torment ,0.0,,,,,,,,,,,,,,,,,,,,,,
wither ,"נָבַל, קָמַל; נֶחְלַשׁ, דָּעַךְ",,,,,wither ,1.0,,,,,,,,,,,,,,,,,,,,,,
dismal ,"מְדַכֵּא, מְדַכְדֵּךְ; מַפְחִיד, אֵימְתָנִי",,,,,dismal ,1.0,,,,,,,,,,,,,,,,,,,,,,
rigged ,"מְעֻוָּת, מְסֻלָּף, בִּלְתִּי הוֹגֵן",,,,,rigged ,0.0,,,,,,,,,,,,,,,,,,,,,,
denigrate ,"הִשְׁמִיץ, הִלְעִיז",,,,,denigrate ,0.0,,,,,,,,,,,,,,,,,,,,,,
omnipresent ,שנמצא בכל המקומות בו-זמנית,,,,,omnipresent ,0.0,,,,,,,,,,,,,,,,,,,,,,
impeccable ,"לְלֹא רְבָב, מֻשְׁלָם",,,,,impeccable ,0.0,,,,,,,,,,,,,,,,,,,,,,
irredeemable ,"שלא ניתן לפדות אותו (כשנאמר על שטר חוב, מניות וכדומה); שלא ניתן להמיר אותו למטבעות (כשנאמר על כסף נייר); חֲסַר תַּקָּנָה",,,,,irredeemable ,0.0,,,,,,,,,,,,,,,,,,,,,,
obliterate ,"הִשְׁמִיד, הִכְחִיד, הֶחְרִיב",,,,,obliterate ,0.0,,,,,,,,,,,,,,,,,,,,,,
mitt,כְּפָפָה (שאינה מכסה את האצבעות),,,,,mitt,0.0,,,,,,,,,,,,,,,,,,,,,,
endeavor ,"מַאֲמָץ, נִסָּיוֹן",,,,,endeavor ,1.0,,,,,,,,,,,,,,,,,,,,,,
bigot ,"קַנַּאי, אדם הדבֵק באופן קיצוני במשהו או במישהו, אדם חסר סובלנות וצר אופקים; גִּזְעָן",,,,,bigot ,0.0,,,,,,,,,,,,,,,,,,,,,,
leisure ,פְּנַאי,,,,,leisure ,0.0,,,,,,,,,,,,,,,,,,,,,,
entice ,"פִּתָּה, שִׁדֵּל, הִדִּיחַ",,,,,entice ,0.0,,,,,,,,,,,,,,,,,,,,,,
stray ,תָּעָה,,,,,stray ,0.0,,,,,,,,,,,,,,,,,,,,,,
triad ,"שְׁלִישִׁיָּה, טְרִיוֹ, שְׁלָשָׁה",,,,,triad ,0.0,,,,,,,,,,,,,,,,,,,,,,
afoot ,"בפעולה, מתרחש; רַגְלִי",,,,,afoot ,0.0,,,,,,,,,,,,,,,,,,,,,,
devour ,"טָרַף, זָלַל",,,,,devour ,1.0,,,,,,,,,,,,,,,,,,,,,,
inclined,נוֹטֶה,,,,,inclined,0.0,,,,,,,,,,,,,,,,,,,,,,
toss ,"זָרַק, הֵטִיל",,,,,toss ,1.0,,,,,,,,,,,,,,,,,,,,,,
pucks,דִּיסְקוּס,,,,,pucks,1.0,,,,,,,,,,,,,,,,,,,,,,
hurl ,"הִשְׁלִיךְ, הֵטִיל, הֵטִיחַ; צָעַק",,,,,hurl ,0.0,,,,,,,,,,,,,,,,,,,,,,
rectify ,תִּקֵּן,,,,,rectify ,0.0,,,,,,,,,,,,,,,,,,,,,,
derision ,"לַעַג, לִגְלוּג, בּוּז",,,,,derision ,0.0,,,,,,,,,,,,,,,,,,,,,,
denigrate ,"הִשְׁמִיץ, הִלְעִיז",,,,,denigrate ,0.0,,,,,,,,,,,,,,,,,,,,,,
judicious ,"נָבוֹן, שָׁקוּל; בעל שיקול דעת; שנעשה מתוך שיקול דעת",,,,,judicious ,0.0,,,,,,,,,,,,,,,,,,,,,,
nook ,"פִּנָּה; מִפְלָט, מִקְלָט",,,,,nook ,0.0,,,,,,,,,,,,,,,,,,,,,,
cranny,"סֶדֶק, בְּקִיעַ; נְקִיק",,,,,cranny,0.0,,,,,,,,,,,,,,,,,,,,,,
eradicate ,"מִגֵּר, שֵׁרֵשׁ, עָקַר מִן הַשֹּׁרֶשׁ, הִשְׁמִיד, הִכְרִית",,,,,eradicate ,0.0,,,,,,,,,,,,,,,,,,,,,,
shirk ,"הִשְׁתַּמֵּט, הִתְחַמֵּק",,,,,shirk ,0.0,,,,,,,,,,,,,,,,,,,,,,
scarce,"נָדִיר, יְקַר הַמְּצִיאוּת; מְצֻמְצָם, מוּעָט, שאינו מספיק",,,,,scarce,0.0,,,,,,,,,,,,,,,,,,,,,,
triage ,"טְרִיאָז', מִיוּן רִאשׁוֹנִי",,,,,triage ,0.0,,,,,,,,,,,,,,,,,,,,,,
perversely ,"באופן סוטה; בעקשנות, להכעיס",,,,,perversely ,1.0,,,,,,,,,,,,,,,,,,,,,,
habitual ,"רָגִיל, שִׁגְרָתִי",,,,,habitual ,0.0,,,,,,,,,,,,,,,,,,,,,,
tack ,"נַעַץ; תַּךְ, תֶּפֶר; (ספנות) הזווית הקדמית התחתונה של המפרש; דְּבִיקוּת",,,,,tack ,0.0,,,,,,,,,,,,,,,,,,,,,,
scour ,"נִקּוּי, מֵרוּק, צִחְצוּחַ, קִרְצוּף",,,,,scour ,0.0,,,,,,,,,,,,,,,,,,,,,,
Psyche ,"נֶפֶשׁ, נְשָׁמָה, פְּסִיכֶה",,,,,Psyche ,0.0,,,,,,,,,,,,,,,,,,,,,,
obstinate ,"עַקְשָׁן, עִקֵּשׁ; נֻקְשֶׁה, שאינו מודה בטעויות",,,,,obstinate ,0.0,,,,,,,,,,,,,,,,,,,,,,
acolyte ,"שַׁמָּשׁ, שָׁרָת (בכנסייה); שׁוּלְיָה, חָנִיךְ, טִירוֹן",,,,,acolyte ,0.0,,,,,,,,,,,,,,,,,,,,,,
benevolent ,"נָדִיב, טוֹב לֵב",,,,,benevolent ,0.0,,,,,,,,,,,,,,,,,,,,,,
apprehension ,"לְכִידָה, תְּפִיסָה, מַאֲסָר; הֲבָנָה; חֲשָׁשׁ, דְּאָגָה",,,,,apprehension ,0.0,,,,,,,,,,,,,,,,,,,,,,
immense ,"כַּבִּיר, עָצוּם, אַדִּיר; לְלֹא גְּבוּל; (בלשון הדיבור) מְצֻיָּן",,,,,immense ,0.0,,,,,,,,,,,,,,,,,,,,,,
abysmal ,"תְּהוֹמִי, עָמֹק; (בלשון הדיבור) רע מאד, עגום",,,,,abysmal ,0.0,,,,,,,,,,,,,,,,,,,,,,
distill ,"זִקֵּק; טִפְטֵף, הִזְלִיף",,,,,distill ,1.0,,,,,,,,,,,,,,,,,,,,,,
stoicism,"סְטוֹאִיּוּת, שַׁלְוַת נֶפֶשׁ, שְׁלִיטָה עַצְמִית, אִפּוּק",,,,,stoicism,0.0,,,,,,,,,,,,,,,,,,,,,,
flounder ,"התקשה לנוע, נע בכבדות ובצורה מגושמת; פִּרְכֵּס, הִתְחַבֵּט",,,,,flounder ,0.0,,,,,,,,,,,,,,,,,,,,,,
indulgent ,"מפייס, סוֹבְלָנִי, וַתְרָנִי; שמספק את התאווה (של מישהו)",,,,,indulgent ,0.0,,,,,,,,,,,,,,,,,,,,,,
burgeon ,"נָבַט, צִמֵּחַ, הִתְפַּתֵּחַ",,,,,burgeon ,0.0,,,,,,,,,,,,,,,,,,,,,,
abundant ,"שׁוֹפֵעַ, מָלֵא, גָּדוּשׁ, מְשֻׁפָּע; מצוי בשפע",,,,,abundant ,1.0,,,,,,,,,,,,,,,,,,,,,,
hone ,"הִשְׁחִיז, חִדֵּד",,,,,hone ,0.0,,,,,,,,,,,,,,,,,,,,,,
frivolity ,"אִוֶּלֶת, טִפְּשׁוּת",,,,,frivolity ,1.0,,,,,,,,,,,,,,,,,,,,,,
hinder ,"מָנַע, עִכֵּב",,,,,hinder ,0.0,,,,,,,,,,,,,,,,,,,,,,
